max_depth,learning_rate,n_estimators,subsample,colsample_bytree,gamma,reg_alpha,reg_lambda,MAE
3,0.15689902590678628,368,0.6192693705780101,0.7519066986321273,4.424083325007869,0.46389775297070235,0.4015257449912797,0.3528733134202233
5,0.18982784663426996,540,0.6386199375703577,0.6784411781248092,4.160272549815346,0.22250044922171341,0.6962605077852435,0.3492645852097397
5,0.13947846384644977,151,0.5023837832302152,0.6472515223266435,4.011119422250442,0.7880969405880972,0.7573586478030948,0.34589810254864506
9,0.2376106090822329,363,0.5501303861051543,0.9274258687047942,2.7371265554933104,0.8816369122002291,0.4320719724980655,0.35415061227964106
6,0.08191430315272526,396,0.9618702853600016,0.5125162185275914,4.72562908775048,0.20614416737226726,0.9072670421726902,0.34075789898319897
7,0.15072642534002384,528,0.6713264611479928,0.580345006185186,0.5903479912305171,0.28971055299991977,0.8876534487940259,0.3238830949188657
3,0.16997155851474913,136,0.8211247790126314,0.6417028256384836,4.6255431574383685,0.7501499764813404,0.48761584719141193,0.35661371140565135
7,0.06825668684230585,105,0.6943571856663043,0.9663530680647894,3.400187108522709,0.263410567293059,0.8811912263914284,0.3353745458407334
7,0.21702310130875024,144,0.5480271347834031,0.9239116819023492,2.7644406932064847,0.35885341713545915,0.9272432611042182,0.340741004330173
3,0.07187905588623077,544,0.9078639252481537,0.6591957244256696,1.6519877667412108,0.36582662628351903,0.9465091164524171,0.33284137120918356
9,0.29847165606399817,466,0.7656175546886795,0.502822161787787,0.1433310967816528,0.002760007739894599,0.06876048987551708,0.35394984564062854
7,0.027742639421251186,585,0.8965666351419617,0.7706376116612704,0.937749089747052,0.593903467820751,0.6789767396800862,0.31425584641306475
8,0.027205089379742666,591,0.8534258073485681,0.804471414493623,0.6014212229026183,0.567197842141199,0.6629146280806304,0.31016705790850774
8,0.010604129490945718,597,0.8474582685541061,0.8559146265434117,1.3837241572718901,0.6133060983439842,0.6400482402124739,0.3196734109705209
8,0.0221772278819979,248,0.9866903964778386,0.7926196943462718,1.290935971338068,0.6023936758642499,0.2333970404941208,0.3222353863656418
8,0.10455152652988609,454,0.8885564533998158,0.8265063166306473,0.722307729789762,0.595374551373321,0.5989859601070798,0.3186076362347002
6,0.033516424505982814,271,0.7881142333110405,0.7316886695502139,2.060030841555248,0.9620953272418199,0.3102341865788647,0.3263839031183663
5,0.11209382697835941,581,0.913847444773221,0.8721972923295678,0.20144659749332305,0.7147502575455269,0.5833958141529002,0.30966395032548605
4,0.11079447256254137,440,0.8446097587516225,0.8647390856665227,0.11214135002376713,0.7294720592854428,0.5714977730101258,0.31087063450544467
5,0.05130873194193518,287,0.9384430337318699,0.9901250096267804,2.172110452468135,0.5120457277974118,0.812141474944817,0.32633388635973015
4,0.11342827596913449,500,0.7531861058248932,0.8886668884734374,0.48451269014227893,0.8696637296674798,0.5304385869748881,0.31805279311404644
4,0.11819534845051363,488,0.8344002513956569,0.8354107728342071,0.06713287591109418,0.7236197934725763,0.5684525742561417,0.3099256820352804
4,0.1192752161555139,579,0.8075056802221446,0.8170501197469238,1.0525925730347396,0.7015819354669042,0.7607628340684077,0.32265619295752035
6,0.08654969092291069,496,0.8648324782679198,0.7177686830730101,0.005168380231533848,0.49457023434877395,0.30214603419143765,0.2982402501827265
6,0.09007138574063683,499,0.9334272925800542,0.7233485176105926,0.052969713331452756,0.4562416761798772,0.21710361139569834,0.30514466495739934
